item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,Prime_pic_distract,Target_pic_correct,Target_pic_distract,prime_sound,target_sound,prime_soundfile,target_soundfile
1,ing prime,A,,,clapping,clapping,clapping_c.png,clapping_pw.png,clapping_c.png,clapping_tw.png,clapping.wav,clapping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clapping.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clapping.wav?raw=true
2,unrel prime,A,,,tiger,kicking,tiger_c.png,tiger_w.png,kicking_c.png,kicking_tw.png,tiger.wav,kicking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/tiger.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/kicking.wav?raw=true
3,in prime,A,,,dancin,dancing,dancing_c.png,dancing_pw.png,dancing_c.png,dancing_tw.png,dancin.wav,dancing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dancin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dancing.wav?raw=true
4,ing prime,A,,,drawing,drawing,drawing_c.png,drawing_pw.png,drawing_c.png,drawing_tw.png,drawing.wav,drawing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawing.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawing.wav?raw=true
5,unrel prime,A,,,dirty,driving,dirty_c.png,dirty_w.png,driving_c.png,driving_tw.png,dirty.wav,driving.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dirty.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/driving.wav?raw=true
6,in prime,A,,,singin,singing,singing_c.png,singing_pw.png,singing_c.png,singing_tw.png,singin.wav,singing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/singin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/singing.wav?raw=true
7,ing prime,A,,,running,running,running_c.png,running_pw.png,running_c.png,running_tw.png,running.wav,running.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/running.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/running.wav?raw=true
8,unrel prime,A,,,monkey,swimming,monkey_c.png,monkey_w.png,swimming_c.png,swimming_tw.png,monkey.wav,swimming.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/monkey.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/swimming.wav?raw=true
9,in prime,A,,,sleepin,sleeping,sleeping_c.png,sleeping_pw.png,sleeping_c.png,sleeping_tw.png,sleepin.wav,sleeping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sleepin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sleeping.wav?raw=true
10,in prime,A,,,walkin,walking,walking_c.png,walking_pw.png,walking_c.png,walking_tw.png,walkin.wav,walking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/walkin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/walking.wav?raw=true
11,ing prime,A,,,hugging,hugging,hugging_c.png,hugging_pw.png,hugging_c.png,hugging_tw.png,hugging.wav,hugging.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hugging.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hugging.wav?raw=true
12,unrel prime,A,,,table,throwing,table_c.png,table_w.png,throwing_c.png,throwing_tw.png,table.wav,throwing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/table.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/throwing.wav?raw=true
