item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,prime_pic_correct_link,Prime_pic_distract,prime_pic_distract_link,Target_pic_correct,target_pic_correct_link,Target_pic_distract,target_pic_distract_link,prime_sound,target_sound,prime_soundfile,target_soundfile
1,ing prime,A,,,clapping,clapping,clapping_c.png,https://github.com/avray327/child-ing-study/blob/main/images/clapping_c.png?raw=true,clapping_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/clapping_pw.png?raw=true,clapping_c.png,https://github.com/avray327/child-ing-study/blob/main/images/clapping_c.png?raw=true,clapping_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/clapping_tw.png?raw=true,clapping.wav,clapping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clapping.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clapping.wav?raw=true
2,unrel prime,A,,,tiger,kicking,tiger_c.png,https://github.com/avray327/child-ing-study/blob/main/images/tiger_c.png?raw=true,tiger_w.png,https://github.com/avray327/child-ing-study/blob/main/images/tiger_w.png?raw=true,kicking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/kicking_c.png?raw=true,kicking_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/kicking_tw.png?raw=true,tiger.wav,kicking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/tiger.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/kicking.wav?raw=true
3,in prime,A,,,dancin,dancing,dancing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/dancing_c.png?raw=true,dancing_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/dancing_pw.png?raw=true,dancing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/dancing_c.png?raw=true,dancing_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/dancing_tw.png?raw=true,dancin.wav,dancing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dancin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dancing.wav?raw=true
4,ing prime,A,,,drawing,drawing,drawing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/drawing_c.png?raw=true,drawing_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/drawing_pw.png?raw=true,drawing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/drawing_c.png?raw=true,drawing_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/drawing_tw.png?raw=true,drawing.wav,drawing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawing.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawing.wav?raw=true
5,unrel prime,A,,,dirty,driving,dirty_c.png,https://github.com/avray327/child-ing-study/blob/main/images/dirty_c.png?raw=true,dirty_w.png,https://github.com/avray327/child-ing-study/blob/main/images/dirty_w.png?raw=true,driving_c.png,https://github.com/avray327/child-ing-study/blob/main/images/driving_c.png?raw=true,driving_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/driving_tw.png?raw=true,dirty.wav,driving.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dirty.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/driving.wav?raw=true
6,in prime,A,,,singin,singing,singing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/singing_c.png?raw=true,singing_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/singing_pw.png?raw=true,singing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/singing_c.png?raw=true,singing_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/singing_tw.png?raw=true,singin.wav,singing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/singin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/singing.wav?raw=true
7,ing prime,A,,,running,running,running_c.png,https://github.com/avray327/child-ing-study/blob/main/images/running_c.png?raw=true,running_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/running_pw.png?raw=true,running_c.png,https://github.com/avray327/child-ing-study/blob/main/images/running_c.png?raw=true,running_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/running_tw.png?raw=true,running.wav,running.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/running.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/running.wav?raw=true
8,unrel prime,A,,,monkey,swimming,monkey_c.png,https://github.com/avray327/child-ing-study/blob/main/images/monkey_c.png?raw=true,monkey_w.png,https://github.com/avray327/child-ing-study/blob/main/images/monkey_w.png?raw=true,swimming_c.png,https://github.com/avray327/child-ing-study/blob/main/images/swimming_c.png?raw=true,swimming_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/swimming_tw.png?raw=true,monkey.wav,swimming.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/monkey.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/swimming.wav?raw=true
9,in prime,A,,,sleepin,sleeping,sleeping_c.png,https://github.com/avray327/child-ing-study/blob/main/images/sleeping_c.png?raw=true,sleeping_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/sleeping_pw.png?raw=true,sleeping_c.png,https://github.com/avray327/child-ing-study/blob/main/images/sleeping_c.png?raw=true,sleeping_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/sleeping_tw.png?raw=true,sleepin.wav,sleeping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sleepin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sleeping.wav?raw=true
10,in prime,A,,,walkin,walking,walking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/walking_c.png?raw=true,walking_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/walking_pw.png?raw=true,walking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/walking_c.png?raw=true,walking_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/walking_tw.png?raw=true,walkin.wav,walking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/walkin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/walking.wav?raw=true
11,ing prime,A,,,hugging,hugging,hugging_c.png,https://github.com/avray327/child-ing-study/blob/main/images/hugging_c.png?raw=true,hugging_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/hugging_pw.png?raw=true,hugging_c.png,https://github.com/avray327/child-ing-study/blob/main/images/hugging_c.png?raw=true,hugging_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/hugging_tw.png?raw=true,hugging.wav,hugging.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hugging.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hugging.wav?raw=true
12,unrel prime,A,,,table,throwing,table_c.png,https://github.com/avray327/child-ing-study/blob/main/images/table_c.png?raw=true,table_w.png,https://github.com/avray327/child-ing-study/blob/main/images/table_w.png?raw=true,throwing_c.png,https://github.com/avray327/child-ing-study/blob/main/images/throwing_c.png?raw=true,throwing_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/throwing_tw.png?raw=true,table.wav,throwing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/table.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/throwing.wav?raw=true
13,in prime,A,,,talkin,talking,talking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/talking_c.png?raw=true,talking_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/talking_pw.png?raw=true,talking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/talking_c.png?raw=true,talking_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/talking_tw.png?raw=true,talkin.wav,talking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/talkin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/talking.wav?raw=true
